Group,Menu,Action
取引先,,
,検索,VDRS
,表示,VDRR
,新規,VDRC
,修正,VDRU
商品販売,,
,検索,ITEMS
,状況確認,ITEM
商品在庫,,
,在庫確認,INVQ
顧客,,
,検索,CUSS
,表示,CUSR
,新規,CUSC
,修正,CUSU
売上伝票,,
,検索,TRXS
,伝票作成,TRXC
,状況確認,TRXQ
商品納入先,,
,検索,SUPS
,表示,SUPR
,新規,SUPC
,修正,SUPU
