Group,Menu,Form,Parameter
取引先,,,
,検索,VDRS,
,表示,VDR,mode=R
,新規,VDR,mode=C
,修正,VDR,mode=U
商品販売,,,
,検索,ITEMS,
,状況確認,ITEM,
商品在庫,,,
,検索,INVS,
,在庫確認,INVS,
顧客,,,
,検索,CUSS,
,表示,CUS,mode=R
,新規,CUS,mode=C
,修正,CUS,mode=U
売上伝票,,,
,検索,TRXS,
,伝票作成,TRXC,
,状況確認,TRXI,
商品納入先,,,
,検索,SUPS,
,表示,SUP,mode=R
,新規,SUP,mode=C
,修正,SUP,mode=U
